0,1,2,3,4,5,6,7,8,9,10,11
20,1.17 5,0.0000,"0 , 4 591",1210 . 0  o . oo,0 . 00,2 5 . 50,4 . 59,,A,,
20,-----,"0 , 0301","0 , 4526",1149 . 6  1 . 01,0 . 10,24.97,4 . 52,,I I,,
20,-----,"0 , 0691",0 . 4443,"1082 . 0  2 , 3 0",0 . 23,24 . 31,4 . 44,,I I,,
20 2 0,-1-. -1-7-0,"0 , 1009 0 . 1387","0.43 58 0 , 42 5 6",103 5 . 1 1106 . 6  3 . 33  4 . 55,0 . 33 0.46,23 . 7 0 22 . 99,4 . 3 5  4 . 25,A,+ B,,B
20,-----,0 . 1753,0 . 2789,1223 . 1  6 . 17,0 . 58,16 . 15,2 . 78,,"""",,
20,-----,"0 , 227 5",0 . 2021,"1293 , 2 8 , 23","0 , 7 5",1 2 . 01,2 . 02,,II,,
20,-----,0 . 27 74,"0 , 14 72","1 "" 308 .3 10 . 18",0 . 92,8 . 88,1 . 47,,,,
20,-----,"0 , 344 3","0 , 0898","1278 . 3 12 , 7 7",1 . 14,5.47,0 . 8 9,,I I,,
20,-----,"0 , 4186",0 . 0380,1216 . 6  15 . 58,1 . 3 9,2 . 3 2,0 . 38,,I I,,
20,1 . 131,0.48 55,0 . 0000,"1144 . 2  18 , 04",0 . 01,0 . 00,o . oo,,I I,,
40 4 0,1-.--18--7,0 . 0000 0 . 0214,"0 , 53 99 0 . 53 66",1028 . 9 994.5 o . oo 0 . 68,o . oo 0 . 07,28.7 0  28 . 3 7,5 . 39 5 . 3 6,,A I I,,
40,-----,"0 , 087 2",0 . 5223,"911.4 2 , 7 6","0 , 29",27 . 25,5 . 22,,I I,,
40,1.185,0 . 13 7 0,0 . 512 6,855 . 3 4.30,0 . 4 5,26.46,5 . 12,A,+,,B
40,-----,"0 , 219 7",0.37 57,9 33.0 7 . 22,"0 , 73",2 0 . 30,3 . 7 5,,,,
4 0,-----,"0 , 313 1","0 , 2 7 01","952 . 6 10 , 57",1.04,14 . 99,2 . 7 0,,"""",,
40,-----,"0 , 4438",0 . 1644,"913 . 3 15 , 20",1 . 4 7,"9 , 25",1 . 64,,I I,,
40,-----,0 . 6008,0 . 0655,"8 I I  33 . 2 20 , 62",2 . 00,3 . 69,0 . 65,,,,
40,-----,0.7 348,0 . 0000,"7 5 6 , 1 2 5 , 00",2 . 44,0 . 00,o . oo,,I I,,
