0,1,2,3,4,5,6
238,13 . 2,25 . 68,0 . 51,3 . 9 0,0 . 9 6,7 0 . 4 1
258,15 . 9,23 . 4 9,0 . 4 3,4 . 44,1 . 01,72 . 07
2 57,20 . 9,22 . 16,0 . 4 1,5 .85,1 . 34,71 . 99
27 6,27.6,19 . 26,0 . 33,7 . 34,1 . 56,7 3 . 40
294,3 6 . 6,16 . 09,0 . 26,9 . 29,1 .8 6,74 . 62
307,4 1 . 6,14 . 3 5,0 . 22,10 . 22,1 . 9 6,7 5 . 43
320,47 . 0,12 . 62,0.18,1 1 . 19,2 . 0 6,7 6 . 19
329,"53 , 9",10 . 74,0 . 15,12 . 56,2 . 2 5,76 . 69
349,74 . 2,5 . 7 5,0 . 08,16 . 52,2 . 78,7 7 . 7 3
285,90 . 6,2.44,0 . 04,2 3 . 53,4 .86,74 . 02
235,9 1 . 6,2 . 51,0 . 05,27 . 34,6 . 84,7 0 . 15
