0,1,2,3,4,5,6,7,8,9,10
Na o,P,0.0,,Na o,,NaO,ll 0,,,
2,2,,5,l 4,,H,l,4,,Solid
phasebmass% mo1%,mass%,,mo1%,mass% mol / kg,,mass% mol /kg,mass%,mol/kg,,
"15 . 64 15.3 2  5 , 13 5 , 02","0 . 55 0 , 59",,"0 . 079 0 , 084","1 . 2 7  1 . 36 0 .10 0 , 09",,"19 . 25 18.7 7 5 ,87  6 . 05",--------,--------,,A A
9 .30 2 . 93,1 . 17,,0 . 16,"2 ,  7 0  Q . 18",,10.02 2 .87,----,----,,A
"8.59 2 , 7 0",1 . 54,,0 . 21,"3 , 56 0 , 24",,8.48 2.41,----,----,,A
7 .  63 2.41,3 . 18,,o . 44,7 . 35 a . so,,4 . 47  1 . 2 6,----,----,,A
7 . 54 2 . 4 0,3 . 73,,"0,52",8 . 62 0.59,,"3 . 42 0 , 97",----,----,,A
"8 , 97 2 , 9 6",6 .30,,"0 , 91",14 . 56 1.05,,"0 . 92 0 , 2 7",----,----,,A
12 . 21 12 . 38 4.28 4 . 26,9 . 60 9 . 81,,1 . 47 1 . 48,21 . 56 21 . 8 6  1 . 60 1 . 71,,---- ---- --------,"0 , 3 9  a.so","o . os 0 , 06",,A A
13 . 88 s . 02,11 . 31,,1 .  7 9,24.51 2 . 00,,---- ----,1.00,0 . 13,,A +  DB
14.16 5 . 16,11 . 7 6,,1.87,"2 5 , 01 2.06",,---- ----,1 .32,"0 , 18",,DB
14 .33 5.2 6,12 . 13,,1 . 94,2 5 . 31  2.11,,---- ----,1.65,0 . 23,,DB
15 . 00 5 . 57,12.73,,2.06,"2 6 . 49 2 , 2 5",,---- ----,1 . 78,"0 , 2 5",,DB
"15 . 59 5 , 90",13.94,,"2,30",27 . 53 2 . 4 0,,---- ----,2.83,"0 , 41",,DB
"17 . 15 6 , 78",16 . 52,,2 .84,30 . 29 2.84,,---- ----,4 . 7 5,o . 74,,DB
17. 72 7 . 10,17.31,,3 . 03,31.3 0 3 . 00,,---- ----,5.24,"0 ,84",,DB
19 . 27 8 . 05,19 . 18,,3 . 50,34 . 03 3 . 4 6,,---- ----,6 . 19,1 . 05,,DB + B7
18 . 78 7 . 78,18 . 93,,3 . 42,"33 , 17 3 .34",,---- ----,6 . 34,1 . 07,,B7
16 . 05 6.3 6,1 7  . 52,,3 . 03,28 . 3 5 2.68,,---- ----,7 . 28,1.15,,B7
"15 .10 5,92",17 .33,,2 . 9 6,"2 6,67 2 . 48",,---- ----,8 . 02,1 . 2 5,,B 7
"14 . 71 5 , 73",17.09,,2.91,"2 5 , 98 2.40",,---- ----,8.10,1 . 2 5,,B 7
"15 . 34 6 , 10",18 . 3 2,,3 . 18,"27 , 09 2.58",,---- ----,9 . 14,1 . 4 6,,B 7
"16 . 14 6,63",20.24,,3.65,"28 , 50 2 .8 6",,---- ----,10 . 95,1 .84,,B7
"17 , 87 7 . 83",24 . 05,,4 . 60,31 . 56 3 . 55,,--,,,,
"18.36 8 , 25",2 5 . 58,,"5 , 02",3 2 . 41 3 .82,,------ --------,14 .38 15.99,2 . 7 1  3.16,,B7  B7
"19 . 18 19 , 3 9  8 , 96 a.so",2 6 . 43 26 . 72,,"5 , 30 5 ,39",33 .87  34.2 5  4.14 4 . 23,,-------- --------,16 . 29 16 . 4 7,3.33 3.41,,B7 + C2 C2
"19 , 33 8 , 96",2 6 . 99,,"5 , 4 6","34,14 4.25",,---- ----,1 6 . 91,3.52,,C2
"1 9 . 54 9 , 13",2 7 . 41,,5 . 59,"34 , 51 4 . 3 6",,---- ----,17 . 27,"3 , 65",,C2
