0,1,2,3,4,5,6,7,8,9,10,11,12
,1 . 80,0 . 38,9 . 34,1 . 04,11 . 06,1 . 04,7 7 . 80,+6 . 4,A +,B +,,C
,1 . 50,0 . 30,8 . 06,0 . 86,9 . 54,0 .86,80 . 90,-4 . 1,A +,B +,,D
1.0,12 . 60,2 .84,6 . 23,o . 7 3,7.37,0 . 73,7 3 . 8,-8.0,B +,C +,,D
,40 . 00,13 . 48,4 . 86,0 . 8 5,5 . 74,a . a s,49.4,+8 . 0,C +,F +,,G
,32 .80,3 . 41,4 . 20,0 . 62,5 . 00,0 . 63,58 . 00,-6 . 0,C +,E +,,F
,28.40,a . so,8 . 98,1 . 40,10 . 62,1 . 4 0,55 . 60,-18 . 0,C +,D +,,E
,1 . 20,0 . 28,21 . 30,2 . 67,8 . 40,0 . 89,69 . 10,+ 19 . 4,A +,B +,,C
,1 . 40,0 . 29,14 . 34,1 . 58,5 . 66,0 . 52,78 . 60,-5 . 5,A +,B +,,D
2.0,24 . 50,6 . 7 6,10 . 90,1 . 57,4 . 30,0 . 52,60 . 3 0,-8.8,B +,C +,,E
,3 2 . 00,9 . 68,"9 , 32",1 . 47,3 . 68,0 . 49,s s . oo,-7 . 0,C +,E +,,F
,41 . 00,12 . 88,8 . 65,1 . 41,3 . 3 5,0 . 4 6,53 . 00,+9 . 6,C +,F +,,G
,24 . 60,6 . 72,10 . 40,1 . 48,4 . 10,0 . 49,60 . 90,-16 . 00,B +,D +,,E
3.0,11. 73,3 . 1 7,22 . 47,3 . 17,4 . 20,a . so,61 . 60,+2 6 . S,A +,B +,,C
,6 . 52,1 . 45,12 . 48,1 .45,6 . 50,0 . 64,74 . 50,-8 . 0,A +,B +,,D
