0,1,2,3,4,5,6,7,8,9,10,11,12
"2,5 0",8 . 44,"7 , 25","2 , 67",14 . 9 2,1 . 08,----,----,1 . 11,"0 , 14",2 . 12,1,24 . 48
"2 , 60",8 . 43,"7,2 5",2 . 67,14 . 91,1 . 08,----,----,1 . 12,"0 ,14",2 . 33,1,21 . 52
"2 , 70",8 . 4 5,"7,27","2 , 67",14 . 94,1 . 08,----,----,1 . 13,"0 , 14",3 . 09,1,"23,67"
2 . 80 2 . 8 5,8 . 32 7 . 3 5,"7 , 09 6 , 06","2,69 2 , 78",14 .  71 13 . 00,"1 . 06 0 , 92",---- ----,--------,1 . 02 0 . 62,"0 . 1 2  0 , 07",3 . 11 3 . 13,1 1,25 .27 23 . 73
2 . 90,7 . 45,"6 , 11","2 , 7 9",13 .17,"0 , 93",----,---,,,,,
3 . 00,6 . 61,"5,22","2 , 9 0",11 . 69,0 .81,----,-----,0 . 58 0 . 24,"0,07 0 , 03",3 .14 3 . 18,1 1,2 5 . 41 24 . 82
3 . 0 5,6 . 1 7,"4 , 7 9","2 , 95",10 . 91,0.74,----,----,0 . 11,0 . 01,3 .19,1,25 . 28
3 . 10,5 . 34,4 . 03,3 . 03,9 . 3 3,0 . 63,0 . 08,0 . 02,----,----,"3,19",1,24 . 7 3
3 . 20,4 . 80,3 . 4 6,"3 , 18",8 . 01,"0 , 53",0 . 34,0 . 09,----,----,"3 , 21",1,24 . 3 2
3 . 30,4 . 53,3 . 11,3 . 34,7 . 20,0 . 48,"0,5 9",0 . 16,----,----,"3,22",1,23 . 97
3 . 50,4 . 26,"2 , 6 5","3,68",6.14,"0 , 40",1 . 02,"0,27",----,----,3 . 22,1,23 . 73
