0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
51  53  56 57  58 52 55  54,,,,,,,,"53 ,37 52 , 62 49 , 07 47 , 04 39 , 57  51 .82 52 ,85  50, 08",,,,,,,,"8 . 04 6 , 95 4 , 12 6 . 56 7 , 7 5  7 . 91 5 , 96 7 , 91",,,,,,,,-------- ---- ---- ---- ---- ----,,,,,,---- -------- -------- --------,,,,15 .38 15 . 69 1 6 . 69 15.98 15 . 7 5 15.21 15 . 69 16 . 04,,,,,,,,5 . 02 4 .80 3 .43 4 . 54 4 .32 5 . 09 5 . 41 5 . 22
59,,,,,,,,"30 , 24",,,,,,,,2 . 51,,,,,,,,----,,,,,,----,,,,13 .21,,,,,,,,2 .38
