0,1,2,3,4,5,6,7
----,----,18 . 9,1.42,81 . 1,Na Po,,
----,----,19 . 3,1 . 4 6,80 . 7,3 I t 4,,
5.6,"0 , 24",15 . 6,1.21,78 . 8,"""",,
8.2,"0 , 3 6",15 . 0,1 . 20,7 6 .8,"""",,
10.6,"0,47",13 . 3,1 . 06,7 6 . 1,"""",,
16.5,"0 , 79",12 . 1,1.03,71 . 4,"""",,
"22,4",1.14,10 . 6,"0,96",67.0,I I,,
"30 , 2",1 . 7 0,9.4,0.9 5,60 . 4,"""",,
34 . 9,"2 , 05",7 . 1,0 . 74,58 . 0,"""",,
37 . 5,2 . 32,7.6,0 .84,54 . 9,"""",,
44 . 3,"3 , 05",6.3,o .  78,4 9 . 4,Nalo  Na wo,,
44 . 7,"3 , 14",6 .8,0 .85,48 . 5,4 2,,4.0
44 . 3,3 . 04,"6 , 2",0 . 7 6,49 . 5,I I,,
4 5 . 1,3 . 07,"4 , 9","0 , 60",so . a,Na o,,
"4 5 .  7 4 6,9","3,07 3 , 01","--3-, -6",0 . 43 ----,50.7 53 . 1,2 I t  4,,
