0,1,2,3,4,5,6,7,8,9
"7 , 8",5 . 59,1 . 95,3 . 0,"2 . 15 0 , 18",,28.7,20 . 57,2.02,7 1.68
7 . 9,5 . 55,1.98,"6 , 0",4 . 22 0 . 3 6,,28.4,1 9 . 9 6,2 . 00,7 0 . 27
"8 , 0",5 . 53,"2 , 00","8 , 6","5.94 0 , 52",,28.1,"19 , 42",1 . 98,69 . 11
"7 , 6","5 , 07",1 . 9 0,14.7,"9 , 80 0 , 9 0",,"27 , 7",18 .45,1 . 9 5,"66 , 67"
"19 , l","13 , 84","4 , 78","2 , 9","2 , 10 0.18",,16.0,"11 , 59",1.13,"72 ,46"
"1 9 , 8",13 . 98,"4 , 95","5 , 9","4 . 17 0 , 3 6",,"15 , 9",11 . 29,1.12,7 0 . 62
"1 9 , 5",13 . 53,4.88,"8 , 7","6 , 04 0 , 53",,15 . 9,11 . 03,1.12,"69 , 40"
"19 , 8","13 , 39",4 . 9 5,12.2,"8.25 0 ,  74",,1 5.9,10 . 7 5,1.12,67 .61
,,,,temp. = 250° C,,,,,
"8 , 1","5 , 50","2 , 02",1 . 5,"1 , 02 0 , 09",,"37 , 7","25 , 59","2 , 65","67 , 8 9"
"8 , 0","5 , 3 3","2 , 00","3 , 0","2 , 00 0 , 18",,"3 9 , 1","26 , 05","2 , 7 5","66 , 62"
8 . 1,"5 , 3 6",2 . 02,3 . 7,2 . 45 0 . 22,,3 9.3,"26 , 01",2 . 7 7,66 . 18
7 . 9,"5 , 22",1.98,3 . 8,"2 . 51 0 , 23",,"3 9 , 5",26 . 12,2.78,"6 6 , 14"
8.1,"5 , 3 5",2.02,3 . 8,"2 , 51 0 , 23",,3 9 .4,"26 , 04",2 . 7 7,"6 6 , 09"
"8 , 2",5 . 60,"2 , 05","4 , 0","2 , 73 0 . 24",,34.1,"23 , 31","2 , 40",68 . 3 5
"8 , 4",6.14,"2 , 10",3 . 5,"2 , 5 6 0 , 21",,25 . 0,18.26,1 . 7 6,"7 3 , 05"
"8 , 4",6.47,"2 , 10",3 . 4,"2.62 0 , 21",,"18 , 0",13.87,1 . 2 7,"7 7  , 04"
"8 , 4",6 . 84,"2 , 10",3.3,"2.69  0 , 20",,11.0,8.96,"0 , 7 7","81, 50"
