0,1,2,3,4,5,6,7,8
66.5,117 . 5,45 . 9 5,4 . 01,-----,----,0 . 08,0.01,53.97
63 . 9,101 . 5,47 . 66,4 . 53,-----,----,2 . 76,0 . 56,4 9 . 58
61 . 0,80 . 2,50 . 88,5 . 61,-,,,,
"58,5 56 . 0",82.0 7 6.0,48.3 1  47 . 8 2,"5,3 5  5 . 6 7",--------- -----,-------- ----,"6.42 9 , 21 12.47",1 . 53 2.21 3 . 20,"4 2 . 7 0  42,48 39 . 7 1"
"52 , 4",88 . 0,4 1 . 89,"4 , 64",-----,----,15 . 64,3 . 76,2 2 . 4 7
50 . 5,159 . 0,29.3 0,2 . 38,-----,----,12 . 8 7,2 . 2 7,57.83
48 . 3,292 . 0,18 . 52,1 . 21,-----,----,,,
,,,,,----,,,
,,,,,,9 . 67,1 . 3 7,7 1 .81
3 9 . 8,43 5 . 0,11 . 18,0 . 6 7,-----,,10 . 38,1 . 3 5,78 .42
33 . 0,24 9 . 0,14.21,1 . 01,-----,----,19 . 95,3 . 09,65 .84
30 . 0,185 . 0,15 .82,1 . 29,-,,,,
25 . 0  24.7,"59,0 12 1 . 0",23 . 63 16 . 79,5 . 03 1.80,------- -------,-------- ----,2 6 . 62 3 9 . 3 0 54 . 23,"4 . 71  2 5 . 00 9 , 13",57 . 56  4 3 . 9 1 2 2 . 14
