0,1,2,3,4,5,6,7,8,9,10
a mass% a mol/kg,mass%,mol /kg,,mass%,d/ kg m -3,V I m 2,-1 S,,,b phase
"3 , 7 7  0 , 93",----,----,,"96 , 23",1 . 03 5,1 .108,,,,A
"2 , 4 5  0 , 60","0 , 25",0 . 02,,"97,30",1 . 037,1 . 109,,,,I I
"2 , 04 a . so","0 , 49",0 . 03,,97 . 4 7,1 . 039,1 . 122,,,,I I
1 .  7 7  o . 43,"0 , 82",o . os,,"97 , 41",1 . 041,1 . 130,,,,I I
"1 . 54 0 , 38",1 . 43,"0 , 09",,97 . 03,1 . 04 5,1 . 138,,,,A +  B
"1 . 41 0, 35",1. 55,0 . 10,,97 . 04,1 . 044,1 . 135,,,,B
"1 . 18 0 , 29",1 . 84,"0 , 12",,"96 , 98",1 . 04 5,1 . 138,,,,I I
"0, 96  0 , 24","2 , 29",0 . 14,,"96 , 7 5",1 . 04 5,1 .138,,,,I I
"a . so 0 , 20","2 , 7 9","0 , 18",,9 6 . 41,1 . 04 6,1 . 140,,,,
"0 , 67 0 , 16",2 . 96,"0 , 19",,96 . 37,1 . 048,1 .152,,,,
"0 , 52 0 , 13",3 . 65,"0 , 23",,95 . 83,1 . 052,1 . 168,,,,
"0 , 41 0 , 10",4. 49,"0 ,29",,9 5 . 10,1 . 057,1 . 17 5,,,,
"0,34 0 , 09",5 . 21,Q . 34,,94 . 25,1 . 063,1 . 190,,,,
"0 , 26 0 , 06","5 , 91",0 . 38,,93 . 83,1 . 070,1 .231,,,,
"0. 21 0 , 05","7 , 00","0 , 4 6",,"92 , 7 9",1 . 078,1 . 316,,,,
0 . 20 o . os,"9 , 05",0 . 61,,"90 , 7 5",1 . 103,1 . 458,,,,
"0 , 18 o . os","9 , 32",0. 63,,"90, 50",1 . 106,1 . 519,,,,B + C
"0 . 10 0 , 03","10 , 00","0 , 68",,"89 , 90",1 . 116,1 . 581,,,,C
"0--, 0--5 -0-. -0-1","10 , 62 12. 38","0 , 72 0 , 8 6",,89 . 33 87 . 62,1 . 122 1 . 152,1 . 617 1 . 911,,,,I I  II
