0,1,2,3,4,5,6,7,8,9
a mass% mol /kg a,,mass%,mol /kg,,mass%,mass%,mass%,mass%,mass%
0 0,,43 .31,4 .16,,56 . 69,,,,
1 . 51 0 . 18,,38 .88,3 . 56,,5 9 . 50,35 . 40,4 . 20,8 0 . 93,19 . 10
3 . 21 0 .38,,3 5 . 9 6,3 . 22,,60 .86,34 . 7 0,4 . 4 6,80 . 00,19 . 60
4 .29 0 . 51,,34.64,3 . 09,,61 . 03,24 . 7 5,8 . 90,56 . 98,40 .85
5 . 06 0 . 55,,28 . 28,2 .31,,66 . 66,25 .30,9 . 40,58 . 20,4 1 .80
5 . 3 7 0 . 55,,23 . 4 9,1 . 80,,7 1 . 18,24 . 40,9 . 4 7,5 6 .85,41 . 9 0
8 .18 0 .84,,20 .87,1 . 60,,7 0 . 94,24 .80,10 . 08,57 .8 0,41 . 60
7 . 64 o . 7 5,,17 . 7 7,1 .30,,74 . 57,8 . 06,18 . 46,18 . 50,81 . 50
8 . 15 o . 7 5,,12 . 94,0 .8 9,,78 .89,1 .18,21 .80,2 . 72,96 .8 0
8 . 91 0 . 75,,4 . 4 6,0 . 28,,86 . 53,0 .33,22 . 40,o . 7 6,98 . 40
18 . 50 1 .66,,0,0,,Bl . SO,,,,
