0,1,2,3,4,5,6,7
"49 , 7 ,","9 , 78",6 . 01,----,----,----,,
44 . 50,8 . 33,5 . 11,2 . 56,1.34,0 .83,"""",
43 . 3 5,8 . 03,4 . 93,3 . 15,1 . 63,1 . 01,"""",
39.70,7 . 26,4 . 50,6 . 67,3 . 4 2,2.13,", .",
3 7.33,"6 , 67",4 . 13,"7 , 7 5","3 , 89",2.41,"""",
"3 5 ,  7 5","6 , 29","3 , 8 9",8 . 40,4.15,"2,57",". ,",
"34 , 62","6 , 09","3 , 80","9 , 9 5",4 . 91,3 . 07,B +,C
"3 3 , 89",5 . 9 3,3.69,10 . 3 0,"5 , 06",3 . 16,C,
21 . 72,3 . 43,2 . 13,1 6 . 27,7 . 21,4 . 4 9,"""",
"14 , 60",2 . 19,1 . 3 6,2 0 . 08,8 . 46,"5 , 26",". ,",
"10 , 78",1 . 57,"0 , 98",22 . 23,9 . 12,5 . 68,"""",
"3 , 30",0 . 46,"0 , 28",2 6 . 51,"10 , 3 7",6 . 4 6,"""",
-1--. 3--1,"-0-, -18-","-0-, 1-1-",27 . 65 28 . 25,"10 , 68 10 ,81",6.66 6 . 74,""" I I",
