0,1,2,3,4,5,6,7,8
p /g  cm -3,,mass%,mass%,mass%,p /g  cm-3 a mass%,mass%,mass%,sol id phase
0 . 7940,,"""-0",100,"""-0",,,,A
0 . 8032,,0 . 10,"92 , 99",6 . 91,1 . 5317 54 . 81,"0 , 98",44 . 21,
0.8343,,"0 , 23",7 5 . 74,24 . 03,1 . 4930  52 . 24,1 . 18,"4 6 , 58",
0 .8941,,1 . 10,51 .85,47 . 05,1 . 4 684 50 . 51,1 . 25,48 . 24,
0 .9066,,1 . 38,41 . 16,57 . 4 5,1 . 4125 4 6 . 44,1 . 66,51 . 89,
0 . 9 304,,"2 , 42",34 . 12,63 . 47,1 . 2694 34.17,"2 ,19","63 , 64",
0 . 9807,,5 .  7 5,21 . 3 5,72. 90,1 . 1344 21.53,7 . 15,71 . 32,
1 . 1022,,18 . 44,9 . 44,"72 , 22",critical,solu tion,,B
1 . 557 6,,"5 6 , 10",0,43.90,,,,C
