0,1,2,3,4,5,6,7,8,9,10
Solubility in the Na2HP04-Na,2 Si0,3.0,-H,2.0,o system at,,,20 °,c .,
Na2HP04 Na,H2 Si0 3,,,,,2o,,solid,,
mass% mol/kga mass%,mol/kga,,,,,a mass%,,phase,,b
"7 . 2 0 . 55 0 , 5",0 . 04,,,,,92 . 3,,,A,
"9 , 5  0 . 7 5 1 . 2",0 . 11,,,,,89 . 3,,,"""",
11 . 8  0 . 96 1 . 8,0 . 17,,,,,86 . 4,,,"""",
"12.5 1.04 2 , 9",0 . 28,,,,,"84 , 6",,,"""",
"15 . 3 1 . 36 5 , 3","0 , 55",,,,,7 9 . 4,,,"""",
"15 . 1 1 . 38 8 , 1",0.86,,,,,76 . 8,,,,
14 . 9 1.42 11.5,1 . 28,,,,,73 . 6,,,I f,
"9 , 0  0,83 14 , 5",1 . 55,,,,,76 . 5,,,"""",
"7 , 9 0 . 74 16 , 5",1 .  7 9,,,,,"7 5,6",,,"""",
4 . 8  0 . 44 18 . 9,2 . 03,,,,,76 . 3,,,"""",
4 . 9  0 . 46 20 . 5,2 . 25,,,,,74.7,,,,
"2 , 5  0 . 23 21 . 5",2 . 32,,,,,76 . 0,,,"""",
2 . 5  0 . 23 20 . 0,2 . 11,,,,,7 7 . 5,,,"""",
1 . 9 0 . 17 20 . 1,2 . 11,,,,,78 . 0,,,"""",
