0,1,2,3,4,5,6,7,8
96.0,9 7 . 0,6 . 07,o . 7 0,53 . 23,23 . 31,----,----,40. 7 0
90.5,98 . 0,14 . 35,1 . 58,43 . 07,18 . 02,----,----,42 . 58
86 . 5,102 . 0,19 . 98,2 . 09,35 . 16,13 . 9 7,----,----,44 .8 6
82 . 2 79 . 5,130 . 0 12 1 . 0,23.14 26 . 54,2 . 0 7 2 . 3 3,"24 . 22 19,95",8 . 20 6 . 64,---- ----,--------,52 . 64 53.5 1
7 6 . 3,119 . 0,32 . 3 6,"2 , 94",1 5 . 83,"5,45",----,-,
73 . 5 70 . 8,"127 , 0 118 . 0",34 . 91 4 0 . 06,3 . 03 3 . 55,10 . 88 6 . 92,3 .57 2 .3 2,---- ----,-------- --·,51 . 8 1  54 . 21 53.02
