0,1,2,3,4,5,6,7
no . t/ ° C,mass%,mol/kg,mass%,mol/kg,,mass%,mol/kg
1 0,15 . 65,1 . 3 63,----,----,,,
2 0,13 . 7 3,1.169,----,----,,0 . 013 0 . 003,0 . 002 0 . 000
3 0,12 . 68,1 . 067,0 . 006,0 . 000,,----,----
4 0,12 .83,1 . 08 6,0 . 38 5,0 . 045,,----,----
s 0,13 . 21,1 . 131,1 . 03,0 . 122,,----,----
6 0,15 . 3 1,1 . 449,7 . 06,0 . 928,,----,----
7 25,28 . 09,2.87 1,----,----,,0 . 03 5,0 . 008
8 25,23 . 68,2 . 280,----,----,,,
9 2 5,21 .88,2 . 05 6,----,----,,0 . 018 0 . 011,0 . 004 0 . 002
10 11 25 2 5,20 . 90 20 . 23,1 . 941  1 .8 63,---- ----,--------,,0 . 005 0 . 002,0 . 001 0 . 000
12 25,19 .83,1 .817,----,----,,0 . 001,0 . 000
13 25,19 . 91,1 .827,0 . 024,0 . 003,,----,----
14 2 5,19 .88,1.829,0 . 2 65,0 . 033,,----,----
15 25,20 . 3 1,1 . 883,0 . 4 5,0 . 058,,----,----
16 25,20.60,1 . 92 3,a . 1 12,0 . 092,,----,----
17 2 5,20 . 7 5,1.9 62,1 . 12,0 . 146,,----,----
18 2 5,20 . 7 5,1 . 962,1 . 5 6,0 . 205,,----,----
19 2 5,20 . 83,1.995,2.4 6,0 . 327,,----,----
20 25,21 .85,2 . 22 2,5 . 95,0 .840,,----,----
21 25,23 . 98,2.644,9 . 3 8,1.43 6,,----,----
22 23 so so,3 6.64 34 . 24,6 . 28 4 . 51,2 0 . 51 10 . 00,4 .88 1 .83,,--------,-------
24 so,3 1.7 9,3 . 65,4 . 3 1,0 . 68 9,,----,-----
25 so,3 1 . 15,3 . 3 6,0 .82,0 . 123,,-,
26 so,"3 0 , 34",3 . 24,0 . 94,0 . 139,,-------,--------
27 so,29 . 24,3 . 05,0 . 3 9,0 . 056,,----,----
28 so,29 . 15,3 . 04,0 . 44,0 . 063,,----,----
29 so,3 0 . 59,3 . 24,----,----,,0 . 004,0 . 001
----3 0 so,31 . 4 5,3 . 37,----,,,0 . 013,0 . 003
31 so,52 . 4 9,8 . 14,----,----,,0 . 13,o . os o
