0,1,2,3,4,5,6,7,8,9,10,11,12,13
2 cone a,,2 cone a,,,mass%,4 mol /kg,mass%,,mol/kg,mass%,4 mol/kg,,2 mas s%
,,,,,,,temp . = o•c .,,,,,,
13 . 1,,13 1 . 0,,,8 . 52,,0 . 92 -,,,,,,
10 . 0  2 . 4,,44 . 0  73 . 5,,,10 . 43 2 . 07,,6 . 08 0 . 46  ----- ------,,---- --------,"48 . 01 81 . 48 7 6, 71",1 1 . 2 7  102 . 97 3 6.9 1,,43 . 47 3 0 . 22 8 . 09
