0,1,2,3,4,5,6,7,8
1,17 . 65,14 . 31,7 8.58,682 . 5,A,+ B,,+ C
2,10.40,25 . 25,62 . 16,598 . 7,B,+ C,,+ D
3,18 . 93,8 . 77,8 6 . 8 0,731 . 1,,A +,,B
4,19.08,7 . 9 6,BB . OB,7 38.4,,t i,,
5,67 . 3 3,11 .  73,82 . 3 6,1132,,A +,,C
6,52 .28,12 . 4 6,8 1 . 3 1,1016,,t i,,
7,3 5 . 16,12 . 95,80 . 64,87 6 . 7,,I I,,
8,9 . 59,3 0 . 3 6,54 . 47,"589,1",,C +,,D
9,B .  7 6,38 . 93,41 . 57,5 55 . 8,,t i,,
10,7 . 07,49 . 68,25 . 4 3,492 . 3,,t i,,
11,5 . 51,24 . 28,63 . 52,627 . 6,,B +,,D
12,14 . 92,17 . 23,7 4 . 21,660 . 4,,B +,,C
13,11 . 3 8,22 .80,65 . 80,618 . 5,,t i,,
14,7 5 . 45,6 . 89,88 . 68,1241,,A,,
15,7 . 54,15 . 04,7 7 . 42,719.8,,B,,
16,50 . 20,44 . 64,33 . 05,1807,,C,,
17,49.60,44 . 76,32.9 6,1 797,,t i,,
18,60 . 52,29 . 38,5 6 . 00,1628,,t i,,
19,4 4 . 64,3 6 . 48,4 6 .8 5,1467,,t i,,
20,29 . 13,58 . 27,12 . 60,139 6,,I I,,
21,58 . 45,20 . 3 6,69 . 4 7,1322,,t i,,
22,"26 , 01",52.02,21. 9 7,1183,,t i,,
23,22 . 73,4 5 . 45,31 . 82,1028,,t i,,( cont inued next page)
