Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H,Column_I
0,11.5,88.5,-2.5,,,,,
11.0,8.9,80.1,-7.6,,,,,
18.4,8.0,73.6,-11.5,,,"""",,
37.7,5.7,56.6,-25.0,,,"""",,
57.8,3.6,38.6,-43.5,,,"""",,
65.4,0,34.6,-45.5,,ice,+,formamide,
64.2,3.1,32.7,-51.2,,ic e  +,,formamide +,KH/0
68.188.9,2.71.0,29.210.1,-44.5 -15.0,KH /,04,,fo rmamid e,4
94.4,1.1,4.5,-8.5,,,"""",,
95.7,1.1,3.2,-6.3,,,"""",,
98.8,1.2,0,-2. o,,,"""",,
