Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H,Column_I,Column_J,Column_K
49.4,8.13,---- ----,,50.6,NalllO ;2H o,,,,,
48.8,8.1,1.10.2,,50.1,4.2,,,,,
45.5,7.8,5.71.2,,48 : 8,II,,,,,
43.8,8.5,13.33.2,,42.9,II,,,,,
44.4,9.8,18.04.9,,37.6,"""",,,,,
44.5,10.6,20.56.0,,30.5,II,,,,,
45.7,13.4,25.89.3,,29.5,Nall,,,,,
45.5,14.6,28.611.2,,25.9,4,,,,,
44.8,16.2,32.114.2,,23.1,II,,,,,
44.6,18.2,34.917.4,,20.5,"""",,,,,
43.2,18.9,37.820.2,,19.0,"""",,,,,
40.1,18.6,39.021.1,,20.9,NaH Po + NaH,,P0,·H,Po,
41.535.1,19.315.9,40.646.525.823.2,,17.918.4,N2aH 24 - 113,Po,44,,3,4.0
31.7,14.3,49.827.4,,18.5,"""",,,,,
23.2,10.3,57.931.4,,18.9,II,,,,,
11.7,6.3,73.046.5,,15.3,II,,,,,
,,temp. ..50° c .,,,,,,,,
62.6,13.95,---- ----,,37.4,Nal1Po,,,,,
60.5,13.9,3.30.9,,36.2,4,,,,,
54.3,14.5,14.64.8,,31.1,"""",,,,,
52.0,14.7,18.56.4,,29.5,II,,,,,
49.3,15.5,24.29.3,,26.5,II,,,,,
45.2,19.0,35.018.0,,19.8,II,,,,,
46.9,16.0,28.712.0,,24.4,II,,,,,
43.8,20.2,38.121.5,,18.1,II,,,,,
43.7,21.7,39.624.0,,19.7,"""",,,,,
41.5,23.4,43.729.0,,14.8,Nal1O Nall,,,,,
40.5,22.5,44.529.1,,15.0,"NaH t ?,· 11",l,0 o4,' H/0,,4.0
37.2,20.4,47.432.0,,15.4,243,,4,,,
30.2,17.3,55.338.8,,14.5,II,,,,,
22.6,14.8,64.752.0,,12.7,II,,,,,
16.6,11.9,71.762.5,,11.7,II,,,,,
13.6,10.4,75.470.4,,11.0,II,,,,,
