Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Numeric Data,Text Data
30,0.0,0.0,0.0,31.0,100.0,4.44,69.0,1248,A
30,2.8,6.8,0.3,28.8,93.1,4.16,68.4,1241,""""
