Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G
78.0,21.48,7.25,----,----,64.57,47.26
79.0,19.19,3.68,----,----,56.26,23.40
80.0,17.78,3.41,----,----,57.70,24.02
81.0,15.43,2.96,----,----,60.07,25.02
82.0,14.56,2.86,----,-,,
83.0,12.56,2.68,----,-------,61.4965.42,26.2130.33
84.0,12.17,2.63,----,----,66.06,30.97
85.0,10.50,2.73,----,----,71.41,40.31
86.0,10.29,3.02,----,----,73.68,46.92
87.0,12.56,17.58,----,----,84.06,254.88
88.0,13.16,33.45,----,----,,
,,----,,,,
,,,,,84.97,467.70
8990.0,---- 0.69,0.30,--------,---- ----,88.9388.60,82.0184.45
91.0,1.69,0.83,----,----,88.73,94.61
9293.0,1.902.90,0.951.58,--------,--------,88.6788.45,96.11104.40
94.0,3.53,2.04,----,----,88.34,110.94
95.0,1.33,1.04,----,----,92.65,157.36
