Text Data,Text Data,Text Data,Text Data,Text Data,Phase,Text Data,Phase
37.15,6.25,13.31,4.60,49.54,A,+,B
30.57,4.56,13.60,4.17,55.83,,,
16.67,2.16,19.05,5.07,66.28,,"""",
10.22,1.26,21.94,5.53,67.84,,"""",
-3--.80 -,0.44 ----,24.9026.54,5.986.18,71.3073.46,,""" """,
