Text Data,Text Data,Text Data,Temperature (°C),Text Data,Text Data,Text Data,Phase,Phase
59.73,8.91,11.09,25.3,,,II,,
64.85,10.7,8.72,22.0,,,II,,
56.76,7.18,0. as,17.1,solid,soln,+  solid soln,B,A
49.12,5.92,14.77,27.2,,solid soln,,,B
52.79,6.93,14.07,28.3,,,II,,
54.83,7.61,13.80,29.3,,,II,,
35.91,3.56,20.16,30.6,,,II,,
22.50,1.80,23.14,28.3,,,II,,
12.88,0.91,25.57,27.7,,,II,,
5.42,0.35,27.20,26.9,,,II,,
-----,----,29.31,27.6,,NH,04H14,,
