Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H,Column_I,Column_J,Column_K,Column_L
61.16,13.12,100,----,---- ' 38.84,,1.574,"17.784 NaH ;,o",,,·H,0.0
56.70,12.19,89.93,4.56,1.3838.74,,1.575,15.7862,,4.0,2,
54.16,11.41,.85.91,6.29,1.8839.55,,1.575,"14.17 "" 2",,,,
52 '.69,11.22,82.01,8.19,2.4639.12,,1.574,"1 "" 2.421",,,,
43.92,9.29,65.10,16.68,4.9839.40,,1.578,"9.850 """,,,,
37.21,7.79,53.40,23.00,6.8039.79,,1.578,"9.810 """,,,,
32.75,6.88,45.63,27.60,8.1839.65,,1.579,9.795 C. eutonic pt .,,,,
32.75,6.89,43.63,27.64,8.2139.61,,1.579,"9.795 """,,,,
30.70,6.24,43.45,28.30,8.1241.00,,1.532,5.499  Na!o,,,,
25.37,4.97,35.89,32.10,8.8842.53,,1.513,4.213,,3.0,,
19.15,3.55,27.39,35.96,9.4244.89,,1.486,"2.982 """,,,,
17.88,3.31,25.47,37.06,"9. "" 6845.06",,1.482,2.873,,,,
11.60,2.11,16.19,42.51,10.9045.89,,1.445,"1.778 """,,,,
-4--.1--0,"--0-,-72-","-5-,-6--2",48.6746.80,12.1213.3747.2346.80,,1.4371.429,"1.5711.43 "" 6 """,,,,
