Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H,Column_I,Column_J,Column_K
19.55,9.19,27.82,s.71,34.53,4.41,----,----,17.82,3.81,C2
19.9020.44,9.6810.20,29.9431.23,6.366.80,35.1536.10,4.815.20,--------,--------,20.3821.59,4.675.21,C2 C2
20.63,10.44,32.00,7.07,36.44,5.40,----,----,22.46,5.57,C2
20.74,10.56,32.34,7.19,36.63,5.50,----,----,22.81,5.74,C2
20.82,10.65,32.53,7.27,36.77,5.56,-,,,,
21.34,11.20,33.79,7.75,37.69,6.02,-------,--------,22.9924.18,5.836.47,C2  C2
21.12,11.22,34.73,8.06,37.30,6.14,----,----,25.71,7.09,E
20.6820.3220.44,11.1211.1610.98,35.7936.2637.01,8.408.538.83,36.5235.8936.10,6.216.176.40,-------- ----,-------- ----,27.6428.6629.57,7.878.258.79,E E E + Cl
19.46,10.31,35.90,8.31,34.37,5.72,----,----,29.07,8.11,Cl
18.95,9.94,35.71,8.18,33.47,5.48,----,----,29.35,8.05,Cl
18.76,9.79,35.52,8.10,33.13,5.37,-,,,,
17.56,8.90,34.60,7.66,31.01,4.76,-------,--------,29.2829.28,7.967.52,C1Cl
17.09,8.60,34.50,7.58,30.18,4.57,----,----,29.63,7.52,Cl
16.92,8.48,34.39,7.53,29.88,4.50,----,----,29.66,7.48,Cl
15.77,7.73,33.78,7.23,27.85,4.03,----,----,30.03,7.27,Cl
14.6613.96,7.076.84,33.6235.31,7.087.56,25.8924.65,3.653.63,-------,----,30.98,7.33,Cl
13.61,6.78,36.71,7.99,24.04,3.69,-----,--------,34.0536.35,8.419.36,C1Cl
13.07,6.61,38.05,8.40,23.08,3.68,----,----,38.77,10.37,Cl
12.3712.53,6.566.72,41.7042.27,9.669.90,21.8522.13,3.964.12,--------,--------,44.5545.17,13.5314.09,C1Cl
12.2511.77,6.596.54,42.7345.10,10.0410.95,21.6320.79,4.084.31,--------,--------,46.1049.87,14.5817.35,C C
11.44,6.60,46.38,11.68,20.20,4.42,----,----,51.99,19.08,C
10.92,6.38,48.72,12.44,19.28,4.71,----,----,55.77,22.81,C
10.66,6.51,51.35,13.69,18.82,5.33,----,----,59.67,28.33,C
