0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
K2HP0 phosphates 4 K HP02,,4 NH H4,lo4,,,(NH,,04 ),HP02,4,,H2,,
mass% mass% mass%,,mol/kg mass%,,mol/kg,,mass%,,,,mol/kg,,mass%,,
temp .,,= -5 ° c .,,,,,,,,,,,,
024.40,,017.1,,2.0,,7.30,,,,0.7,,75.6,,
45 7.141.8,,4.74.97,,0.8,,2.12,,,,0.3,,51.1,,
46.48.8542.3,,5.06.20,,1.1,,2.64,,,,0.4,,48.9,,
50.013.743.1,,5.79.59,,1.9,,4.10,,,,0.7,,43.2,,
45.015.238.2,,4.710.6,,2.0,,4.55,,,,0.7,,46.6,,
25.020.919.8,,1.914.6,,2.1,,6.25,,,,0.8,,59.4,,
39.75 03 9.75 3.8= temp .,,o•c .0,,0,,0,,,,0,,60.25,,
026.90,,u 18.8,,2.2,,8.05,,,,0.8,,73.1,,
45.01.85  44.2,,4.71.29,,0.2,,0.55,,,,0.07,,54.0,,
46.43.344.9,,5.02.31,,0.4,,0.98,,,,0.1,,51.8,,
50.08.554 5.7,,5.75.99,,1.1,,2.55,,,,0.4,,45.8,,
53.012.25  46.5,,6.58.58,,1.8,,3.66,,,,0.7,,40.2,,
50.014.242.9,,5.79.94,,2.0,,4.25,,,,0.8,,43.0,,
45.015.538.0,,4.710.9,,2.0,,4.64,,,,0.8,,45.5,,
25.023.319.2,,1.916.3,,2.5,,6.97,,,,0.9,,57.5,,
43.20 43.2,,4.40,,0,,0,,,,0,,56.8,,
temp .,,= 10° c .,,,,,,,,,,,,
03 1.650,,022.2,,2.8,,9.47,,,,1.0,,68.35,,
53.02.0551.9,,6.51.43,,0.3,,0.61,,,,0.1,,38.1,,
55.04.452.6,,7.03.08,,0.6,,1.31,,,,0.2,,43.0,,
58.07.353.8,,7.95.11,,1.1,,2.18,,,,0.4,,38.9,,
55.012.548.1,,7.08.75,,1.9,,3.74,,,,0.7,,39.4,,
50.015.442.3,,5.7 ·10.8,,2.2,,4.61,,,,0.8,,42.3,,
45.017.35 37.2,,4.71 2.2,,2.3,,5.2,,,,0.9,,45.4,,
25.027.418.2,,1.919.2,,3.1,,8.2,,,,1.1,,58.4,,
52.00 52.0,,6.20,,0,,0,,,,0,,48.0,,
The authors state that the equ ilibrium,,solid phases,,ar e NH,,"H Po6,",,,KH,Po,and,,,an
unspecif ied double salt . There,,is no mention of,,the degr e4e o2f,,,,hydra7tio4n .,,,,,,
,,,,,,,,,,,,,,
"Concerning the mass% of K HP024,",,see footnote b under,,,Part 1.,,,,,,,,,
4. Solubility in the NH at 4 H 2 Po 4 - (NH,,4 ) 2HP04 -K 2 HP0,4,-H 2 o,system,,,o•c .,,,,,,
NH (4 H/04 NH4 ) 2HP04,,K,,HP024,,,,n,o 2,,,,,
Nr mass% mol/kga. mass%,,mol/kga. mass%,,mol/kga.,,,,mass%,,,,,,
120.03.573 1.4,,4.89 ----,,,----,,,48.6,,,,,,
223.24.182 5.0,,3.923.6,,,0.42,,,48.2,,,,,,
310.72.1310.4,,1.8135.4,,,4.67,,,43.6,,,,,,
47.51.687.2,,1.4046.5,,,6.88,,,32.9,,,,,,
56.81.537.6,,1.49 47.0,,,6.99,,,38.6,,,,,,
615.62.8223.6,,3.72 12.8,,,1.53,,,48.0,,,,,,
72.80.642.15,,0.4357.3,,,8.71,,,37.7,,,,,,
