Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Text Data,Text Data
74.48,22.94,16.86,0.164,0.109,0.078,1.398,l1.20,
69.58,18.98,13.21,0.176,0.096,0.071,1.4,11.40,""""
