Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Text Data,Text Data,Text Data,Text Data,Phase,Text Data
8.97,2.96,6.3,0.91,14.56,1.05,0.92,0.27,----,----,A,.
12.21,4.28,9.6,1.47,21.56,1.6,----,----,0.39,0.os,A,
