Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Text Data
5.9,1.64,67.6,25.23,26.5,115.6,0.1592,
4.1,1.1,68.4,24.6,27.5,116.2,0.1772,""""
