Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H
34,56.50,9.47,,,,15.41,5.60
35,55.91,9.59,--,,,,
36,55.55,9.43,------,--------,,16.6416.71,6.186.14
37,62.98,9.36,---,,,,
3839,60.6255.15,8.567.09,---------,-------- ----,,5.336.058.22,1.711.852.29
40,51.33,6.50,----,----,,11.52,3.16
4142,51.1851.43,6.486.50,--------,---- --,,11.64,3.19
43,51.30,6.73,----,------,,12.2112.79,3.433.63
44,51.43,6.89,-,,,,
454746,51.9352.5652.49,7.207.847.77,------- --------,---- -------- ----,,13.4314.1215.7015.86,3.904.245.045.12
4849,56.3053.87,9.168.18,------- -,---- ----,,14.7315.14,5.194.98
5051,53.4053.37,8.108.04,--------,---- ----,,15.5415.38,5.115.02
