Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H,Column_I,Column_J,Column_K,10_phase
34.71,13.38,0.12,0.02,0.27,0.03,44.59,20.22,----,----,,
29.1928.79,10.7510.52,0.310.38,0.0520.061,o.710.87,0.070.08,37.1536.51,14.9414.58,--------,-----,D0.5,
28.3727.78,10.3610.11,0.420.48,0.0670.076,0.971.11,0.090.10,35.9035.04,14.2213.72,--------,---------,D0.5 D0.5,
27.5426.98,10.009.73,0.470.47,0.0740.074,1.081.08,0.100.10,34.0234.02,13.1113.11,---- ----,------- ---,D6 D6  D6,
25.4324.42,9.068.61,0.530.56,0.0820.086,1.221.29,0.110.11,31.9230.57,11.9411.51,------ --,---- ----,D6 D6,
23.80,8.36,0.61,0.093,1.41,0.12,29.68,10.77,-,,,
23.3619.85,8.206.75,0.660.55,0.1010.062,1.521.27,0.130.10,29.0324.69,10.458.33,----- ------,----- -------,D6 D6 + A,A
