Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H,Column_I,Column_J,Column_K
15.05,0.39386.8 ±,0.2,1,,,,389.0 ±,,0.5,2.2
110.09,0.82385.6 ±,0.1,21,,,,388.5  ±,,0.5,2.2
114.8,1.28385.7  ±,0.1,21,,,,389.0  ±,,0.5,2.2
120.0,1.84386.1  ±,0.2,L 2,,,,388.9  ±,,0.2,2.2
125.0,2.45  LX 386.9  ±,0.4,,,,,388.7  ±,,0.5,2.2
1295,3.073878 ±,0.4,Ll,,,,3893.° ±,,0.5,2.2
133(1,L13.62389 a,,,,,,389,,,2.2
1141.5,5.21 e,,e,,,,e,,,e
1.25.07,0.37376.0  ±,0.3,1,,,,384.0 ±,,0.5,1.8
1.210.3,0.79371.8 ±,0.2,2,,,,383.9  ±,,0.3,1.8
1.215.1,1.23371.0 ±,0.1,121,,,,±,,0.3,1.8
1.220.2,1.75370.9  ±,0.2,2,,,,,,,
,,,,,,,384.9,,,
,,,1,,,,384.0  ±,,0.5,1.8
1.225.1,2.32372.0  ±,0.2,L 2,,,,385.0  ±,,0.2,1.8
1.230.2,2.99373.0 ±,0.1,LX,,,,384.5  ±,,0.5,1.8
1.235/,3.74374.9/,0.1,Ll,,,,385.1/,,0.1,1.8
1.239,4.42384.5,,Ll,,,,384.5,,,1.8
