0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
15.13,4.33,25.01,3.48,----,----,----,----,----,44.63,A +,B,,,
13.74,4.31,27.72,4.23,----,----,4.01,0.54,5.95,"52,58",I I,,,,
12.85,4.47,30.72,5.20,----,----,7.22,1.08,10.04,58.46,A +,B,,+,C
"---- 21.1118.6217.735,93","---- 2.214.75 5,015.64",46.65 -1-1-. -57 ---- 39.75,8.71 -1-.  -5-6  ---- 7.21,---- -------- 8.694.16,---- -------- 0.871.74,"9.148.37  10,1810.705,62",1.511.230.621.341.23,"14.79  12.45  27.223 3.1515,78",100.03 6.1115.9379.488.68,B + A A + + I I  I I,C C C,,+,D
19.4920.90,4.865.22,---- ----,---- ----,8.2310.58,1.612.07,3.67 ----,-0-. -3-9,29.3828.44,5.96 ----,A + I I,D,,,
14.75,3.67,----,----,11.00,2.14,5.22,0.56,42.46,8.76,C + D,,,,
7.78 ----,-1-.8--7,--------,--------,16.85  23.50,3.184.28,"4.342,90","0,490,29",65.96100.0,8.156.33,I I  I I,,,,
