Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Text Data,Empty_9,Temperature (°C)
42.2,6.75,19.1,6.06,62.4,8.08,4.32,0.46,"CsD ;,o",,
40.0,6.17,19.6,6.0,64.0,7.91,1.11,0.11,2,,4.0
