-,9.1,20.3,II,Column_E,Column_F
-,9.7,20.43,II,,
-,8.0,20.62,II,,
-,7.0,20.84,II,,
-,5.8,21.13,KC1·nH 2 0,+,KCl
-,4.7,21.54,P-KCl,,
,o,22.1,II,,
,10.0,23.7,II,,
,14.2,24.5,II,,
,24.6,26.0,II,,
,30.1,27.2,a-KCl,,
,38.0,29.06,II,,
