",I",,LICl,,
I,,,,
I,71.5,51. 61,,
I,81.6 87.0,53.3754.46,,
,92.0,55.27,,
,94.6,55.84,,
,95.3,56.0t,,
,95.5,55.99,,
I,96.2,56.57a,,
I,97.1,56.60a,,
,98.2,57.55a,,
,101.8,56.40,,L1C1
I,107.6,56.52,,
,115.4,56.95,,
I,117.0,57.00,,""""""
i,123.0,57.28,,
I,130.5,57.58,,""""
,140.5,57.90,,""""
,14.3.6,57.98,,""""
I,154.0,58.4b,,""""
