Temperature (°C),Temperature (°C),Temperature (°C),Phase,Temperature (°C),Temperature (°C),Temperature (°C),Phase
-21.0,45.2,2.5,II,55.6,68.6,6.62,II
-24.6,48.4,2.84,II,63.0,72.7,8.06,II
