Text Data,Temperature (°C),Temperature (°C),Text Data,Phase
16.20,182.24,64.57,1.8984,II
29.85,197.17,66.35,1. 9359,II
45.55,213.45,68.1,1. 9702,II
60.20,229.41,69.64,2.0012,II
76.10,245.76,71.08,2.0286,II
89.50,259.56,72.19,2.0500,II
119.4 a,289.98,74.36,2.0859,II
