Temperature (°C),Temperature (°C),Temperature (°C),Text Data
20,26.37,0.09942,""""
25,26.48,0.09993,""""
40,26.76,0.1012,""""
50,26.93,0.102,""""
60,27.02,0.1024,""""
70,27.36,0.104,""""
100,28.29,0.1084,""""
