10 45.58,5.11 1,2.990,1. 562,II
20 48.6 6,5.746,3. 38 4,1.609,II
30 51.4,6.37,3.78,1.662,II
40 54.5,7.15,4.28,1. 722,II
50 57.3,7.94,4.79,1. 787,II
65 62.5,9.68,5.95,1. 900,II
75 66.8,11.5,7.18,2.013,II
78 68.3,12.2,7.69,2.070,II
80.5b 70.15,II13.13,8.390,--,
80.0b 70.lb,13.1,8.37,--,A +
81 70.1,13.1,8.37,--,B
II90 70.8,13.5,8.66,--,
100 71.9,14.1,9.13,--,B
117 72 .6,14.6,9.46,--,II
II130 73.3,15.0,9.80,--,
"l34b ,c 73.6c",15.2,9.95,--,II
