- 9.8,Column_B,13.73,15.92,1. 1075,lce
- 9.8,,24.86,33.08,1. 2015,NaCl·2H 2O
0,,26.26,35.6,1.209,NaCl + NaCl·2H 20b
10,,26.35,35.78,1. 2047,NaCl
30,,26.53,36.11,1.1957,II
50,,26.84,36.69,1.187,II
70,,27.28,37.51,1.178,II
100,,28.13,39.14,1.168,II
