file,part,table_num,rows,cols,has_mass_percent,has_mol_percent,has_molality,has_mole_fraction,has_phase_info,has_temperature,has_concentration,has_solubility,has_ratio,numeric_count
SDS-31_Part6_table_042.csv,Part6,042,4,7,False,False,False,False,False,False,False,False,False,19
SDS-31_Part6_table_043.csv,Part6,043,5,11,False,False,False,False,False,False,False,False,False,25
SDS-31_Part6_table_044.csv,Part6,044,19,9,True,True,False,False,False,False,False,False,False,71
SDS-31_Part6_table_045.csv,Part6,045,11,13,False,False,False,False,True,False,False,False,False,92
SDS-31_Part6_table_046.csv,Part6,046,2,11,False,False,False,False,False,False,False,False,False,18
SDS-31_Part6_table_047.csv,Part6,047,8,9,False,False,False,False,True,False,False,False,False,65
SDS-31_Part6_table_048.csv,Part6,048,12,7,False,False,False,False,True,False,False,False,False,24
SDS-31_Part6_table_049.csv,Part6,049,59,5,False,False,False,False,True,False,False,False,False,83
SDS-31_Part6_table_050.csv,Part6,050,70,6,False,False,False,False,True,False,False,False,False,127
SDS-31_Part6_table_051.csv,Part6,051,67,6,False,False,False,False,True,False,False,False,False,119
SDS-31_Part6_table_052.csv,Part6,052,41,8,False,False,False,False,True,False,False,False,False,59
SDS-31_Part6_table_054.csv,Part6,054,27,7,False,False,False,False,True,False,False,False,False,48
SDS-31_Part6_table_055.csv,Part6,055,10,4,False,False,False,False,True,False,False,False,False,3
SDS-31_Part7_table_001.csv,Part7,001,20,9,False,False,False,False,False,False,False,False,False,57
SDS-31_Part7_table_002.csv,Part7,002,34,8,False,False,False,False,False,False,False,False,False,118
SDS-31_Part7_table_003.csv,Part7,003,7,11,False,False,False,False,True,False,False,False,False,22
SDS-31_Part7_table_004.csv,Part7,004,4,10,False,False,False,False,True,False,False,False,False,19
SDS-31_Part7_table_005.csv,Part7,005,9,2,False,False,False,False,False,False,False,False,False,8
