0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,Solubility in,the MgHP0,-Na HP0,-H,,0.0,sys tem,,at 25°,,,
10 C 5 Mg,,,10 c 32Na 10 C 3 HP0,H2 o4,4 MgHP0a 4 Na 22,4 HP0a 42,,,a,,,C .,,solidb
g,,ion/1000,g H 2o,,mass% mass%,,,,mass%,,pH,,,phase
802,,,8.02,,0.096,,,,99.90,,6.98,,,A
543,,,32.437.78,,0.0650.46,,,,99.48,,8.19,,,I I
421,,,79.884.02,,0.0501.12,,,,98.83,,8.86,,,I I
277,,,"1591 62,2",,0.0322.21,,,,97.76,,9.23,,,I I
338,,,3103 13.0,,0.0384.22,,,,95.74,,9.24,,,I I
553,,,527532.6,,"0.0616,96",,,,92.97,,9.23,,,I I
741,,,665672.1,,"0.0818,63",,,,91.29,,9.26,,,I I
821,,,726733.9,,"0.0899,35",,,,"90,56",,9.36,,,I I
1070,,,817827.9,,"0.11510,39",,,,89.49,,9.35,,,A + B
994,,,811820.9,,0.10710.33,,,,89.57,,9.35,,,B
849,,,"814822,7",,0.09110.36,,,,89.55,,9.36,,,I I
594,,,820826.4,,"0,06310.43",,,,89.50,,9.33,,,
321,,,828830.7,,0.03410.53,,,,89.44,,9.36,,,""""
220,,,825826.9,,0.02310.49,,,,89.48,,9.35,,,""""
,,,83483 :: .5,,10.60,,,,89.40,,9.36,,,I I
