0,1,2,3,4,5,6,7,8,9,10
15.05,0.39386.8 ±,0.2,1,,,,389.0 ±,,0.5,2.2
11 0.09,0.823 85.6 ±,0.1,21,,,,388.5  ±,,0.5,2.2
114.8,1.28385.7  ±,0.1,21,,,,389.0  ±,,0.5,2.2
120.0,1.84386.1  ±,0.2,L 2,,,,388.9  ±,,0.2,2.2
125.0,2.45  LX 386.9  ±,0.4,,,,,388.7  ±,,0.5,2.2
1295,3.07387 8 ±,0.4,Ll,,,,3893.° ±,,0.5,2.2
133(1,L13.62389 a,,,,,,389,,,2.2
11 41.5,5.21 e,,e,,,,e,,,e
1.25.07,0.37376.0  ±,0.3,1,,,,384.0 ±,,0.5,1.8
1.21 0.3,0.79371.8 ±,0.2,2,,,,383.9  ±,,0.3,1.8
1.215.1,1.23371.0 ±,0.1,121,,,,±,,0.3,1.8
1.220.2,1.75  37 0.9  ±,0.2,2,,,,,,,
,,,,,,,384.9,,,
,,,1,,,,384.0  ±,,0.5,1.8
1.22 5.1,2.32372.0  ±,0.2,L 2,,,,385.0  ±,,0.2,1.8
1.230.2,2.99  373.0 ±,0.1,LX,,,,384.5  ±,,0.5,1.8
1.23 5/,3.743 74.9/,0.1,Ll,,,,385.1/,,0.1,1.8
1.23 9,4.42384.5,,Ll,,,,384.5,,,1.8
