0,1,2,3,4,5,6
+,"phosphoric  aci d,",tri sodi um s a 1t,,,,"E 127,14 6"
d,,,,,,
+,ammoni a,,,,,"26 9,27 0"
+,d ipho sphoric  acid,,,,,"26 9,27 0"
+,"phosphori c  aci d,",d i sodium s a 1t,,,,"23,37,38"
+,"phosphoric  acid,",1i thium s a 1t,,,,"E4,9,10"
+,"phosphori c  a ci d,",monocesi um s a 1t,,,"E 32 0,","E 32 2,32 9 - 33 1"
+,"pho sphori c  acid,",monopota s s ium,sa 1t,,,"17 4,17 8 - 18 1"
+,"phosphori c  aci d,",monorubidium s a 1t,,,"E30 8,","E 31 0,31 3,"
,,,,,,"31 6,31 7"
+,"phosphori c acid,",monosodium s a 1t,,,"16,","20,21,24,25"
+,"phosphoric  aci d,",tr isodium s a 1t,,,"E 13,","E 14,26 - 36"
