0,1,2,3,4,5,6,7,8,9
20.02.029.31,,"10.6940,0",8.33,,ss . o,C +,,D,
20.02.209.31,,10.6943.2,"9,78",,67. o,C +,,D,
0.o 0.o 0.o,,0.o 56.0,10.60,,40.2,B +,,E,
1.80.170.84,,0.96 55.0,"10,61",,43. S,B +,,E,
4.75 0.452.21,,"2,5452.5",10.23,,46.0,B +,,E,
a . o 0.823.72,,4.2852.44,11.04,,42.0,D +,,E,
a . o 0.883.72,,"4.2855,2",12.50,,s0.s,D +,,E,
8.91.014.14,,4.76 ss . s,12.99,,49 D,+ E,,+,F
0.o  0.o 0.o,,0.o  60.8,"12,92",,"57,2",E +,,F,
1.60.170.74,,0.8660.0,13.02,,59.8,E +,,F,
4.20.451.96,,2.2458.0,12.78,,63. S,E +,,F,
"11.251.355,24",,"6.0155,0",13.58,,68.4,E +,,F,
"2,Solub ility isotherms in",,the NH )4Hlo4 - (NH 4 o2HP04,-NaH l,,sys tem .4 -u 2o,,,,
mixturca NH )4 H 2 Po 4,,(NH 4) 2 HP 04 NaH 2,Po 4,,H 20 (N,+,P,2,o 5
b,,,,,,,,,
b mass% mol/kg mas s%,,mass% b mass%,mo1/kg b,,mas s%,mass%,,,
,,t emp .  -5 °a C,,,,,,,
0.o  0.o 0.o,,0.o 35.4,4.56,,64.6,21.0,,,
"6,70,453.12",,3.5833.0,4.56,,60.3,24. S,,,
"12,0 o .795.59",,6.4126.4,3.57,,61.6,24. S,,,
2.3920.171.11,,1.2840.2,S .83,,57.408,25. S,,,
"22,01.4310.24",,11.76 15.6,2.08,,62.4,25.6,,,
33.42.2515.55,,17.85  6.66,0.92,,59.94,28.78,,,
"40.22,7218.71",,21.48 0.o,0.o,,59.8,29.9,,,
,,temp . a 0 °C,,,,,,,
0.o 0.o  0.o,,0.o 37.6,5.02,,"62,4",22.1,,,
14.00.946.51,,7.4825.8,3.57,,60.2,25. S,,,
6.580.453.06,,3.5234.2,4.81,,59.22,26.2,,,
2.380.171.11,,1.2741.87,6.26,,55.87,26.4,,,
24.41.6311.36,,13.0415.12,2.08,,60.48,27.1,,,
33.62.2815.64,,17.966.64,0.92,,59.76,28.98,,,
42.63.0019.83,,22.77  0.o,0.o,,57.4,31.6,,,
,,"temp,""' 10 ° C",,,,,,,
0.o 0.o 0.o,,0.o 42.2,6.08,,57.8,25.0,,,
"6.380,452,97",,3.413 6.2,5.25,,"57,42",26.24,,,
19.01.36  a . a s,,10.1524.3,3.57,,56.7,28.63,,,
"29.02.06  13,50",,15.5014.18,2.08,,"56,72",29.9,,,
2.280.171.06,,1.2244.8,7.05,,"52,992",28.29,,,
40.03.0018.62,,21.386.0,0.92,,54.0,33.36,,,
47.03.5921.88,,25.12 0.o,0.o,,"53,0",35.0,,,
