0,1,2,3,4,5,6
mass% mol/kg,,mass% mol/k1mass%,trc,,,phasec.
---- ----,,38.47.3361.6,"-17,5",,,A + B
3.60.48,,34.16.4462.3,-18.4,,,A + B
"6,20.84",,32.06.0961.8,-18.9,,,A + B
"8,41.17",,"31.86,2659.8",-12.8,,,B + C
7.8  1.03,,"29.45,5162,8",-18.8,,,A + C
11.2 1.67,,32.86.895 6.0,,"2,3",,B + C
9.21.20,,27.25.0363.6,-18. S,,,A + C
15.52.48,,32.47.3252.1,15.1,,,B + C
11.61.51,,24.44.4864.0,-17.2,,,A + C
26.04.63,,27.26.8446.8,29.8,,,B + C
"17.72,23",,"16.22,896 6,1",-14.6,,,A + C
"23,02.84",,9.61.6867.4,-12.8,,,A + C
23.42.89,,9.21.6067.4,"-12,5",,,A +  C
27.83.41,,4.30.7467.9,-10.9,,,A + C
ubility isotherms in,,the NaH Po2 system .4 -NaN03-H20,,,,
NaHlo4,,NaN03 H2o,,,,solid
mass% mol/ kga. i,,mass% b mol/kga i mass%,,M,,phase
,,temp . = -17.5 °C .,,,,
---- ---- ---,,38.47.33100.061.6,,758,,A + B
"3,60.487,0",,"34.46.5393,062.0",,793,,B
6.3  a . a s  12.1,,"32.26.1687,961.5",,79 3,,I I
7.61.0314.8,,"31.05.9485.261,4",,79 7,,B + C
"8,01.0816,0",,"30,05.6984,062.0",,820,,C
"9,41.2419,5",,"27,55,1380,563.1",,872,,I I
"10.71.3923,1",,"25,24.627 6.964.1",,924,,A + C
"8,91.1419.3",,26.34.77  80.764.8,,940,,
7.40.96 19.6,,28.35.1884.464.3,,906,,I I
"5,9 o.77  12.2",,"30,05.5187.864.1",,886,,I I
"3,40.446.8",,32.86.0593.263.8,,856,,I I
,,"temp,.. -14 ° C .",,,,
---- ---- ---,,"39,17.55100,060.9",,736,,
3.7  a . so 7.0,,"35.36.8193,06 1.0",,759,,I I
6.40.8812.1,,33.06.4187.960.6,,762,,I I
"8.21.1315,6",,31.46.1284.460.4,,76 6,,B + C
8.31.1415.9,,31.26.0784.160.S,,771,,
"9,61.2819,4",,"28,25.3380,662.2",,840,,I I
"12,01.5925,3",,"25,04.6774,763.0",,888,,II
"17,82.2543,9",,"16,22.8956,16 6.0",1082,,,I I
19.42.4349.6,,14.02.4750.466.6,1133,,,A +  C
"17.12.1143,9",,15. S 2.70  56.167.4,1152,,,A
"10.01.2125,1",,21.23.6274.968.8,1149,,,I I
"7.60.9019,4",,"22.53.7980,669.9",1182,,,I I
"6,4  o .77  15,7",,"24.44.1584,369.2",1132,,,I I
"5,1 0.6112,3",,25.84.3987.769. l,1109,,,I I
"-2--,-90--,-3-5 --6.-8",,"28.231.44.825.38100,093,268.968.6",10761028,,,I I I I
