0,1,2,3,4,5,6,7
,,,a,,,,a
mass %,,mo1%,mol/ kg,b mass %,mol,%,mol/kg phase
,,,,temp . =,25 ° C .,,
13.40,,1.67,"0,94",----,----,,---- A
"9,51",,1.15,"0,65","2,00","0,68",,"0,39"
"7,24",,"0,87","0,49","3,48",1.17,,"0,67"
5.14,,"0,61","0,35",6.12,"2,06",,1.18
4.70,,0.57,"0,32",7.45,"2,53",,1.45
4.28,,"0,53","0,30","10,44","3,61",,2.09
3.07,,0.38,"0,22",12.50,4.34,,2.53
"2,32",,0.29,0.18,"17,05",6.09,,3.62
1.96,,"0,26","0,16",21.92,8.12,,4.93
1.90,,"0,25","0,16","25,26","9,62",,5.93 A + C
"0--,-9-5",,-0-.-1-2,"-0-,0-8-","25,7626.40","9,759,94",,"6,016.14 C I I"
