0,1,2,3,4,5,6,7,8
Nr,tl,"°C,",,mass%,mol%,mass%,mol%,solid phase
20,33.2,,,42.2,6.00,17.8,5.03,CsHlo
21,"33,2",,,37.2,4.89,19.0,4.96,4 I I
22,"33,2",,,"31,6",4.52,29.5,8.38,CsH5 (P04 ) 2
23,"39,0",,,42.8,6.22,18.3,"5,28",CsH Po
24,"39,0",,,38.2,5.16,19.4,"5,21",2 I I  4
25,"39,0",,,32.4,4.82,30.6,"9,04",CsH5 (P04 ) 2
26,44.7,,,43.S,6.47,18.7,5.53,CsHlo
27,44.7,,,39.0,5.41,19.9,5.48,4 I I
28,44.7,,,33.4,5.20,31.7,"9,80",CsH5 (P04 ) 2
29,50,,,61.1,151,19.4,"95,2",CsHl0
30,50,,,53.3,102,19.1,72.3,""" 4"
31,50,,,50.6,89.8,19.1,67.2,I I
32,50,,,47.9,79.8,19.2,63.5,I I
33,50,,,44.0,66.6,19.0,"57,1",I I
34,50,,,43.0,64. S,19.6,58.3,I I
35,50,,,42.3,62.8,19.8,58. S,I I
36,50,,,40.7,57.9,19.4,54.8,I I
37,50,,,40.2,57.8,20.5,"58,5",I I
38,50,,,40.4,59.0,21.1,61.2,I I
39,50,,,40.6,59.8,21.3,"62,3",I I
40,so,,,40.8,61.0,21.9,"65,0",I I
41,50,,,41.5,69.3,26.2,"86,9",I I
42,50,,,41.3,76.1,29.2,10.5a,I I
43,50,,,"39,9",74.0,32.3,11.9a,CsH (Po )
44,50,,,38.6,69.6,32.4,11.6a,5 I I  42
