0,1,2,3,4,5,6,7,8
pH,mass%,mass%,mass%,mo1%,mass%,mo1%,mass%,mo1% phase
,,,,"temp,=",25 ° c .,,,
6.6,35.4,19.9,9.19,1.36,----,----,51.1,7.16 RbH o
5.8,29.1,18.3,5.00,0.56,----,----,47.0,"45.237 r,"
5.6,27.6,17.9,4.02,0.43,----,----,46.0,"5.04 """
5.2,26.7,17.4,3.78,"0,39",----,----,44.7,"4.76  """
"5,2","26,3",17.4,3.38,"0,35",----,----,44.7,4.72  t i
4.7,23.8,17.2,1.15,0.11,----,----,44.2,4.43 t i
2.6,24.6,23.8,----,----,7.08,1.60,47.8,"5.80 """
2.5,24.9,24.6,----,----,7.87,1.83,48.4,"6.05  """
2.1,25.8,"27,5",----,----,10.9,2.86,50.1,7.05  t i
1.9,26.6,30.2,----,----,13.8,8.20,51.7,"8.20 """
"2,0",27.4,32.2,----,----,15.7,5.17,53.2,9.39 I I
1.4,28.3,"36,3",----,----,20.5,8.49,55.0,"12.2  """
