0,1,2,3,4,5,6,7,8
mass% mol/kg,mass%,mol/kg,mass% mo1/kg,,mass%,t/ 0c .,,
45.74.8,----,----,----,,"---- 54,3",2,,
44.04.8,2.57,0.4,1.10,,"0.252,3",-2,,
"42.54,8",4.96,0.8,2.12,,0.350.4,-5,,
41.04.8,7.19,1.3,3.07,,0.548.7,-8,,
"39,74.8",9.27,1.7,3.96,,0.64 7.1,-11,,
39.04.8,10.3,1.9,4.38,,0.74 6.3,-13,,
38.44.8,11.2,2.1,4.79,,0.845.6,6,,
37.84.8,"12,1","2,4","5,19",,0.944.9,10,,
"50.85,9",----,----,----,,"---- 49,2",8,,
48.55.9,"3,19",0.6,1.36,,"0,247.0",4,,
47.75.9,4.19,0.8,1.79,,0.346.3,2,,
46.35.9,6.10,1.2,2.61,,0.444.9,-0.5,,
45.05.9,7.91,1.6,3.38,,0.643.7,-3,,
44.45.9,8.78,1.8,3.75,,0.743.1,"-3,5",,
43.85.9,9.62,"2,0",4.11,,0.742.5,-5,,
43.25.9,10.4,2.2,4.46,,"0,841.9",7,,
"42,65,9","11,2",2.4,4.80,,0.941.3,"13,5",,
"55.87,3",----,----,----,,---- 44.2,13,,
"53,87.3",2.58,0.5,1.10,,0.24 2.5,10.5,,
51.97.3,4.98,1.1,2.12,,0.441.0,9,,
50. 1 7.3,7.21,1.6,3.08,,0.b  39.6,4.5,,
49.27.3,8.27,1.8,3.53,,0.738.9,8,,
48.47.3,"9,30","2,1",3.97,,"0,838.3",12,,
"47.35,2",----,----,----,,"---- 52,7",3,,
41.35.2,8.94,1.7,3.82,,0.645.9,-8.5,,
"40,55.2",10.1,1.9,4.31,,0.745.1,-10,,
"39.35,2",11.8,2.3,5.05,,0.943.8,11.5,,
"54,16.8",----,-;--,----,,---- 45.9,12,,
"48.36,8",7.44,1.6,3.17,,"0,641.0",1.7,,
47.56.8,8.55,1.8,"3,65",,"0.740,3",0,,
"54.98,3","5,11","1,2",2.18,,0.43 7.8,10,,
3. Graphically d erived,,solub ility,isotherms in the NH4Hlo4- (NH4) 2HP04-K2HP0,,,,-4,H
system .,,,,,,,,
,a,,,,,,,
authors ' data,,,,,comp iler ' s  r ecalculations,,,
ammonium,,,,,,,,
K 2 HP04 phosphates,,K 2 HP04,NH 4 Hlo,,4 (NH4),HP02 4,"0 ""2",
mass% mass%,,mass% mo1/kg,mass%,,mol/kg mass%,mol/kg,mass%,
,,temp .,.. -10° c .,,,,,
021,,0,014.7,,1.66.28,0.6,79.0,
45 12.25,,"39,5",4.78.58,,1.53.66,0.6,48.3,
46.414.4,,"39,7",5.010.1,,1.94.31,"0,7",45.9,
4514.85,,"38,3",4.710.4,,"1,94.44",0.7,46.9,
2518.3,,20.4,1.912.8,,1.85.47,"0,7",62.3,
