0,1,2,3,4,5,6,7,8,9
8.3,7.31,2.08,2.7,2.380.16,,2.6,2.29,0.18,88.03
8.4,7.40,2.10,4.9,4.320.30,,0.2,0.18,0.01,88.10
20.0,12.86,s . oo,2.7,1.74  0.16,,32.8,21.09,2.31,64.31
19.8,12.74,4.95,2.8,1.800.17,,32.8,21.11,2.31,64.35
20.0,12.93,5.00,2.9,1.870.18,,31.8 c,,,
20.6,13.79,5.15,2.7,1.810.16,,26.1.,20.561 7.47,2.241.84,64.6466.93
20.s,14.52,5.12,2.7,1.910.16,,18.0,12.75,1.27,70.82
20.7,15.40,5.17,2.7,2.010.16,,11.Q,8.17,0.78,74.40
20.6,15.98,5.15,2.7,2.090.16,,5.6 C,4.34,0.39,77.58
,,,,t emp .  = 350 ° C,,,,,
8. Q,6.17,2.00,0.6,0.46  0.04,,,16.20,1.48,77.16
8. Q,6.17,2.00,0.6,0.46  0.04,,,16.20,1.48,77.16
8. Q,6.23,2.00,Q .4,0.310.02,,,15.58,1.41,77.88
8. Q,6.55,2.00,0.4,0.330.02,,,11.29,0.97,81.83
8.Q,7.02,2.00,0.3,0.260.02,,,s . oo,0.40,87.72
8.4,7.46,2.10,0.3,Q .270.02,,,3.46,0.27,88.81
8.Q,7.26,2.00,0.3,Q .270.02,,,1.72,0.13,90.74
21.0,11.85,5.25,1.9,1.070.12,,,30.64,3.82,56.43
21.0,11.73,5.25,2.6,1.45  Q .16,,,30.95,3.90,55.86
21.0,11.71,5.25,2.7,1.  s o  0.16,,,31.0l,3.91,55.77
21.0,11.84,5.25,3.1,1.75  0.19,,,30.04,3.75,56.37
21.3,12.52,5.33,2.2,1.290.13,,,27.40,3.28,58.79
21.0,13.60,5.25,1.8,1.16 0.11,,,20.47,2.22,64.77
21.0,14.72,5.25,1.4,0.980.08,,,14.22,1.43,70.0!.l
21.0,15.61,5.25,1.2,Q .890.07,,,9. i4,0.86,74.35
21.0,16.63,5.25,1.0,0.79 Q .06,,,3.40,C .30,79.18
21.0,17.06,5.25,1.4,1.140.08,,,0.57,0.os,81.23
