0,1,2,3,4,5,6,7
23.1,2.50,---- ----,,-6.6,,,
22.7,2.51,2.00.23,,-7.1,,I I,
22.2,2.50,3.80.45,,- 7.6,,I I,
21.8,2.50,5.70.68,,-8.0,,"""",
21.4,2.50,7.40.90,,-8.5,,"""",
21.0,2.50,9.11.13,,-9.0,,"""",
20.3,2.50,12.21.57,,-2.2,,,
19.9,"2',50",13.81.81,,3.5,,"""",
19.6,2.50,15.22.03,,7.9,,"""",
19.2,2.52,17.32.37,,13.1,,"""",
18.7,2.51,19.32.70,,19.0,,"""",
18.1,2.50,21.33.06,,"26,1",,"""",
17.7,2.49,"23,13.39",,30. l,,I I,
,,S ect ion IV,,,,,
34.6,4.41,---- ----,,-2.7,,C,
33.9,4.41,2.00.27,,-2.6,,"""",
33.2,4.39,3.80.52,,-2.5,,"""",
32.6,4.40,"5,70.80",,-2.6,,"""",
"32,0",4.40,7.41.06,,-2.5,,I I,
31.5,4.42,9.11.33,,-2.9,,"""",
30.9,4.41,10.71.59,,1.9,,,
30.4,4.41,12.21.85,,"9,0",,"""",
"29,9",4.42,13.82.13,,13.9,,"""",
29.4,"4,42",15.22.38,,18.5,,I I,
28.4,4.41,18.02.92,,27.6,,I I,
,,S ection V,,,,,
38.5,5.22,---- ----,,7.1,,C,
37.8,5.23,"2,00.29",,6.8,,"""",
37.1,"5,23",3.8 Q .56,,6.9,,"""",
36.4,5.24,"5,70,86",,7.2,,"""",
"35,8","5,25",7.41.13,,7.1,,I I,
35.2,5.26,"9,11.42",,7.1,,"""",
34.5,5.24,"10,71.70",,"7,1",B,+,C
33.9,5.24,"12,21.97",,12.1,,,
33.3,5.24,"13,82.27",,17.9,,"""",
32.8,5.26,15.22.54,,22.8,,"""",
32.2,5.25,16.72.84,,27.3,,"""",
