0,1,2,3,4,5
mass%,mol/kg,mass%,mol/kg,mass%,phasea
"48,b9",7.91,----,----,51.31,
"46,59",7.53,1.86,"0,29",51.55,I I
40.84,6.50,"6,80",1.06,52.36,I I
37.71,5.95,9.50,1.47,52.79,I I
34.24,5.38,12.81,1.97,52.95,I I
"27,99",4.37,18.67,2.86,53.34,I I
"24,69",3.85,21.51,3.26,53.50,I I
22.89,3.55,23.43,"3,56",53.68,I I
13.89,2.18,33.15,5.11,52.96,I I
11.53,1.84,36.41,s .71,52.06,I I
"8,37",1.37,40.82,6.56,S0.Bl,I I
"5,23","0,90",46.36,7.82,48.41,""""
"3,55",o .64,50.11,8.83,46.34,""""
1.47,0.31,"59,44",12.42,39.09,""""
"0,66",0.17,"67,09",16.99,32.25,
"0,74",0.19,"65,97",16.94,32.29,""""
"0,39",0.10,"67,35",17.05,32.26,""""
