0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
T /K,a,,,b,,R,,a,,,,b,,R
2980.55,± 0.02,,44.1,± 0.3,,0.9950,0.93,±,0.02,4.38,,± 0.07,,"0,9991"
3230.280,± 0.007,,54.8  ±,0.1,,0.9979,0.983,..!:,0.004,6.65,,± 0.03,,1.0000
The authors,(4),also,linearized,,their data us ing,,equation,,[ 3 ] .,,,,,
,,,,,,WRb 2 O =,a + b  • WP 20 5,,,,,,,
"However,they",gave no d etails  f or,,,,,the method,they used .,,The,compiler,,,recalculated,t
values  to g ive,,the following,,results :,,,,,,,,,,
for P /Rb > 1,,,,,,,,,,,,,,
T a 298 K a,=,17.6 ±,0.7  mass% ;,,,b = 0.30,± 0.02 ;  R,,= 0.9825,,,,,
T = 323 K a,=,25.2 ±,0.5 mass% ;,,,b = 0.15,± 0.02 ; R,,= 0.9647,,,,,
