0,1,2,3,4,5,6,7,8
1 ----2 ----,,--------,"56,2854.21",,22.9521.10,,--------,----
"34 4,095,17",,0.450.55,"53,3250,91",,"22,3220.66",,--------,------------
"55,32",,0.56,50.48,,"20,35",,----,----
"65,38",,0.58,"51,60",,21.38,,----,----
"75,53",,0.58,50.11,,20.13,,----,----
811.21,,1.14,42.57,,16.41,,----,----
"927,03",,2.84,28.22,,11.24,,----,----
1028.47,,3.00,"26,89",,10.74,,----,----
"1128,74",,3.04,26.84,,"10,77",,----,----
"123 5,23",,3.84,21.65,,8.95,,___ ..,----
"1340,40",,4.51,17.45,,"7,38",,----,----
1443.54,,4.93,"14,90",,6.39,,----,----
15  --------164 5.4345.55,,"5.235,22","13,6513.41",,"5,945.82",,--------,
1746.21,,5.31,12.86,,"5,60",,----,----
1849.47,,"5,84",10.65,,"4,76",,----,----
"1952,16",,6.27,8.68,,"3,95",,----,----
2052.91,,6.41,"8,22",,3.77,,----,----
