0,1,2,3,4,5,6
58,"6,34",0.50,34.51,10.39,----,----
59,5.20,0.45,41.33,13.77,----,----
60,"6,31",0.58,42.83,15.01,----,----
61,8.07,0.78,43.41,15.95,----,----
62,54.45,6.16,----,-----,"3,94",0.96
63,50.58,5.08,----,-----,2.56,0.55
64,49.07,4.67,----,-----,1.47,"0,30"
65,47.61,4.28,----,-----,----,----
66,43.07,3.76,2.99,0.98,----,----
67,36.67,3.14,"8,32",2.69,----,----
68,35.89,3.07,9.08,2.94,----,----
69,33.38,2.87,11.93,3.89,----,----
70,32.90,3.14,"17,77",6.42,----,----
71,49.86,5.88,"10,20",4.55,----,----
72,37.44,4.05,19.06,7.81,----,----
73,17.70,1.76,34.96,13.16,----,----
74,10.94,1.07,41.18,15.33,----,----
75,"8,94",0.88,43.30,16.15,----,----
76,"7,83",0.76,43.76,16.11,----,----
77,6.49,0.62,44.64,16.28,----,----
78,4.48,0.42,46.09,16.62,----,----
79,0.oo,0.00,48.85,17.02,----,----
