0,1,2,3,4,5,6
"+ phosphor ic  ac i d,",di s od i um sa 1t,,"E98,11 2,",,,"12 2,12 3"
"+ pho sphor ic ac id,",monosodi um,sa 1t,,,,"E5 l,53"
"+ phos phor ic  acid,",tri sodium sa 1t,"E 128,","E 129,",,,"13 6 - 13 8,"
,"14 0,","14 5,15 5,","15 6,",,,16 1 - 16 4
+ s od i um a 1umin i um,oxide,,,,,"16 1,16 2"
+ sod i um hydroxide,,,"15 5,15 6,",,,"16 1,16 2"
"+ vanad i c acid,s od ium",sa 1t,,,,,"16 3,16 4"
"osphate see ethanam ine,","N,N-diethy 1-,",,phosphate,,,
pha te see phos phori c,"ac id,",tr i s od i um,s a 1t,,,
d i sod i um s a 1t,,,,,,
+ wate r,,,,,,15 1
d i sod i um s a 1t ( aqueous ),,,,,,
"+ phos phor ic acid,",tri sodi um s a 1t,,,"E 127,",,15 1
"+ phos phoric  ac id,",monoammoni um,sa 1t,,,,"27 4,27 5"
"+ p hosp hor ic  ac id,",monopota s s i um,s a 1t,"E 20 8,",,"23 4,","23 5,"
,,,,,"27 4,",27 5
+ wa ter,,,,,,"30 5,30 6"
potas s ium s a 1t,,,,,,
+ water,,,,,,"30 5,30 6"
potas si um s a 1t  ( aqueous ),,,,,,
"+ phos phor ic  aci d,",tr ipotas s i um,s a 1t,"E29 7,",,,"30 5,30 6"
sod ium s a 1t,,,,,,
+ wa te r,,"14 4,","15 9,16 0,",,,"16 3,16 4"
s od i um sa 1t ( aqueous ),,,,,,
"+ phos phoric  ac id,",tr i sodi um,s a 1t,"E 129,",,"14 4,","15 9,"
,,,"16 0,",,,"16 3,16 4"
+ s od i um a 1uminium,ox ide,,,,,"15 9,16 0"
