0,1,2,3,4,5,6
78,21.48,7.25,----,----,64.57,47.26
79,19.19,3.68,----,----,56.26,23.40
80,17.78,3.41,----,----,57.70,24.02
81,15.43,2.96,----,----,60.07,25.02
82,14.56,2.86,----,-,,
83,12.56,2.68,----,-------,61.49  65.42,26.213 0.33
84,12.17,2.63,----,----,66.06,30.97
85,10.50,2.73,----,----,71.41,40.31
86,10.29,3.02,----,----,73.68,46.92
87,12.56,17.58,----,----,84.06,254.88
88,13.16,33.45,----,----,,
,,----,,,,
,,,,,84.97,467.70
8990,---- 0.69,0.30,--------,---- ----,88.9388.60,82.0184.45
91,1.69,0.83,----,----,88.73,94.61
9293,1.90 2.90,0.951.58,--------,--------,88.6788.45,96.11104.40
94,3.53,2.04,----,----,88.34,110.94
95,1.33,1.04,----,----,92.65,157.36
