0,1,2,3,4,5,6
l26a,,0.5,99.5,97.5,2200.0,11
l24 a,,1.0,99.0,95.2,1100.0,11
118.5 a,,2.4,97.6,89.0,450.0,11
113.5a,,3.0,97.0,86.6,358.0,11
,,,,,,11
106.6,,4.1,95.9,82.3,259.0,
105a,,4.5,95.5,80.9,235.0,11
,,,,,,11
104,,4.6,95.4,80.5,229.0,
,,,,,,11
100,,4.9,95.1,79.5,215.0,
,,,,,,11
100,,5.0,95.0,79.1,210.0,
95,,5.5,94.5,77.4,190.0,a-LiCl03
,,,,,,11
90,,7.0,93.0,72.6,147.0,
,,,,,,11
(90),,6.2,93.8,75.1,167.0,
89a,,7.0,93.0,72.6,147.0,11
,,,,,,11
85,,7.9,92.1,69.9,129.0,
84 a,,8.1,91.9,69.3,126.0,11
8la,,9.0,91.0,66.8,112.0,11
,,,,,,11
80.9,,9.0,91.0,66.8,112.0,
,,,,,,11
70.0,,10.8,89.2,62.2,91.4,
,,,,,,11
68,,11. 2,88.8,61. 2,87.7,
,,,,,,11
60.0,,11.9,88.1,59.6,81.9,
55 a,,12.6,87.4,58.0,76.7,11
,,,,,,11
55.0,,12.9,87.1,57.4,74.7,
,,,,,,11
50.0,,13.9,86.1,55.2,68.5,
,,,,,,11
45.0,,14.3,85.7,54.4,66.3,
