0,1,2
-0. 06510 0. 01780,0.2148,ice
-0.15115 0.0421,0.5065,
-0. 21900 0.0622,0.7465,
-0.2774 0. 07780,0.932,
-0.2738 0. 07826,0.9374,
-0.4165 0.1215,1.448,
-0.5352 0.1581,1.876,
-0.6296 0.1873,2.215,
-0.7872 0.2368,2.784,
-0.8211 0.2468,2.898,
-1.194 0.3633,4.208,
-1. 988 0.615 5,6.927,
-3.244 1.022,11.0,
-3.789 1.199,12.66,
-4.128 1.300,13.68,H
-4.947 1.568,15.94,..
..-5.6061. 774,17.66,
-6.388 2.021,19.64,H
