0,1,2,3,4,5,6,7,8,9
0 upper 3.2,13.850.04,,19.9,86.15,"3,52",,,76.9,332.6
lower 39.1,95.71.27,,1.8,4.3,o .71,,,59.1,144.7
15 upper 2.5,"9,00,05",,25.5,91.0,"5,83",,,72.0,"257,0"
lower 45.5,94.81.99,,2.5,"5,2",1.36,,,52.0,108.0
25 up per 4.2,14.60.09,,24.5,85.4,6.52,,,71.3,232.0
lower 50.0,97.32.47,,1.4,2.7,0.86,,,48.6,95.0
a.The concentrat ion un i t,is : g /100 g of,,CK/04 + NH,.3),,,,,
The mo l/kg H2o values were,calculated,,by the,"comp iler,",,,,,
"Par t 3,Temperatu res  o f",the m iscibility,,gap in,some solu tions,of,,the,,
K,system .3 Po4-Nu 3 -u 2o,,,,,,,,
H2o a. gram a mass% K/04 mol/kg,gram mass% a.,,NH3,« mo l/kg a,gram,,mass%,,t/ 0 c .
"93.55  35,571.03","6,45",,2.45,0.88183,,,61.98,,0
"89.529.980,71","10,5",,"3,52",1.04198.5,,,"66,50",,0
84.326.550.58,"15,7",,4.94,1.34217.5,,,"68,50",,0.3
78.523.210.46,21.5,,6.36,1.57238.2,,,70.43,,6.9
66.519.76 0.39,33.2,,9.82,2.42238.1,,,70.42,,46.05
56.315.500.28,43.511.94,,,2.66264.4,,,72.56,,45.75
42.81 1.080.18,56.114.16,,,2.81296.2,,,74.76,,39.6
25.05.77 0.08,"75,017.32",,,3.063 33,,,76.90,,"14,2"
93.637.71 1.20,"6,4",,2.58,"1.02148,2",,,59.71,,37.7
91.037.071.20,"9,0",,3.67,1.48145.5,,,59.27,,"57,2"
85.032.320.93,15.0,,5.70,I 2.06163,,,61.98,,70.2
78.52 7.84 o .72,21.5,,7.62,2.46182,,,64.54,,69.4
71.123.660.56,28.9,,9.62,2.82 200.5,,,66.72,,52.4
60.518.85 0.40,39. S  12.30,,,3.282 21,,,68.85,,44.6
50.814.740.28,"49,214.28",,,3.43244.6,,,70.98,,35.95
29.27.100.11,70.817.20,,,"3.25  311,S",,,75.70,,13
