0,1,2,3,4,5,6,7,8,9
a mass% mo1/kg a,,mass%,mo1/kg,,mass%,mass%,mass%,mass%,mass%
00,,43.31,4.16,,56.69,,,,
1.510.18,,38.88,3.56,,59.50,35.40,4.20,80.93,19.10
3.210.38,,35.96,3.22,,60.86,34.70,4.46,80.00,19.60
4.290.51,,34.64,3.09,,61.03,24.75,8.90,56.98,40.85
5.060.55,,28.28,2.31,,66.66,25.30,9.40,58.20,41.80
5.37 0.55,,23.49,1.80,,71.18,24.40,9.47,56.85,41.90
8.180.84,,20.87,1.60,,70.94,24.80,10.08,57.80,41.60
7.64 o .75,,17.77,1.30,,74.57,8.06,18.46,18.50,81.50
8.15 o .75,,12.94,0.89,,78.89,1.18,21.80,2.72,96.80
8.910.75,,4.46,0.28,,86.53,0.33,22.40,o .76,98.40
18.501.66,,0,0,,B1. SO,,,,
